"source_id","publication_year","title","author1","author2","author3","author4","author5","author6","author7","author8","author9","author10","url","citation","source_notes","data_processing_notes","date_entered","entered_by"
11,"2000","Feeding ecology of sockeye and pink salmon in the Gulf of Alaska","M. Kaeriyama","M. Nakamura,","M. Yamaguchi","H. Ueda","G. Anma","S. Takagi","K. Y. Aydin","R. V. Walker","K. W. Myers",NA,NA,"Kaeriyama, M., Nakamura, M., Yamaguchi, M., Ueda, H., Anma, G., Takagi, S., Aydin, K.Y., Walker, R. V, Myers, K.W., 2000. Feeding ecology of sockeye and pink salmon in the Gulf of Alaska. North Pacific Anadromous Fish Commission Bulletin 2, 55-63.","This paper is based on some of the same data as Kaeriyama et al. 2004, however diet data is reported differently","some field and some lab processing","2019-11-15","Caroline Graham"
12,"2004","Change in feeding ecology and trophic dynamics of Pacific salmon (Oncorhynchus spp.) in the central Gulf of Alaska in relation to climate events","M. Kaeriyama","M. Nakamura,","R. Edpalina","J. R. Bower","H. Yamaguchi","R. V. Walker","K. W. Myers",NA,NA,NA,NA,"Kaeriyama, M., Nakamura, M., Edpalina, R., Bower, J.R., Yamaguchi, H., Walker, R. V, Myers, K.W., 2004. Change in feeding ecology and trophic dynamics of Pacific salmon (Oncorhynchus spp.) in the central Gulf of Alaska in relation to climate events. Fisheries Oceanography 13, 197-207.","This paper is based on the same data as in Kaeriyama et al. 2000, but with more species included, more years, and environmental data - there is still some overlapping data.","some field and some lab processing","2019-11-15","Caroline Graham"
13,"1972","Food of salmonid fish in the Bering Sea in summer of 1966","Y. Kanno","I. Hamai",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kanno, Y., Hamai, I., 1971. Food of salmonid fish in the Bering Sea in summer of 1966. Bulletin of the Faculty of Fisheries Hokkaido University 22, 107-128. In Japanese: English abstract.",NA,NA,"2019-11-15","Caroline Graham"
14,"2007","Diets of Pacific salmon in the Sea of Okhotsk, Bering Sea, and Northwest Pacific Ocean","V. I. Karpenko","A. F. Volkov","M. V. Koval",NA,NA,NA,NA,NA,NA,NA,NA,"Karpenko, V.I., Volkov, А.F., Koval, M. V, 2007. Diets of Pacific salmon in the Sea of Okhotsk, Bering Sea, and Northwest Pacific Ocean. North Pacific Anadromous Fish Commission Bulletin 4, 105-116.","The data from this paper likely overlaps with some other Russian salmon diet studies but the data is very coarse. Although this study is a meta-analysis, it was impossible to distinguish between published and unpublished data, so the study was included.","inconsistent methods because data was pulled from various sources","2019-11-15","Caroline Graham"
15,"1968","Food of Pacific salmon and steelhead trout in the Northeast Pacific Ocean","J. I. Manzer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Manzer, J.I., 1968. Food of Pacific salmon and steelhead trout in the Northeast Pacific Ocean. Journal of the Fisheries Research Board of Canada 25 (5), 1085-1089.",NA,"processed in field, some visual estimates of percent volume","2019-11-15","Caroline Graham"
16,"1996","Spatial variations in feeding and condition of juvenile pink and chum salmon off Vancouver Island, British Columbia","R. I. Perry","N. B. Hargreaves","B. J. Waddell","D. L. Mackas",NA,NA,NA,NA,NA,NA,NA,"Perry, R.I., Hargreaves, N.B., Waddell, B.J., Mackas, D.L., 1996. Spatial variations in feeding and condition of juvenile pink and chum salmon off Vancouver Island, British Columbia. Fisheries Oceanography 5(2), 73-88.","This paper reports stomach contents as percent dry weight of prey","processed in lab","2019-11-15","Caroline Graham"
17,"1996","Change in chum salmon (Oncorhynchus keta) stomach contents associated with fluctuation of pink salmon (O. gorbuscha) abundance in the central subarctic Pacific and Bering Sea","K. Tadokoro","Y. Ishida","N. D. Davis","S. Ueyanagi","T. Sugimoto",NA,NA,NA,NA,NA,NA,"Tadokoro, K., Ishida, Y., Davis, N.D., Ueyanagi, S., Sugimoto, T., 1996. Change in chum salmon (Oncorhynchus keta) stomach contents associated with fluctuation of pink salmon (O. gorbuscha) abundance in the central subarctic Pacific and Bering Sea. Fisheries Oceanography 5(2), 89-99.","This paper reports some of the same data as Davis et al. 1996 and Atcheson et al. 2012, but the diet data is presented differently. In Davis et al. 1996 there is more detailed data and more years. There is some overlap with Ishida and Davis 1999 - but this paper includes more species, although a shorter time period.",NA,"2019-11-15","Caroline Graham"
18,"1972","Food animals collected from the stomachs of three salmonid fishes (Oncorhynchus) and their distribution in the natural environments in the northern North Pacific","I. Takeuchi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Takeuchi, I., 1972. Food animals collected from the stomachs of three salmonid fishes (Oncorhynchus) and their distribution in the natural environments in the northern North Pacific. Bulletin of the Hokkaido Regional Fisheries Research Laboratory 38, 1-119. In Japanese: English abstract.","Some data from this paper look like replicate data in the database - frequency of occurrence (#) data. This is because they were reported by region and there was no way to differentiate regions so they were assigned spatial coordinates based on their general location.",NA,"2019-11-15","Caroline Graham"
19,"1969","Food and feeding behaviour of Pacific salmon-II. Sequential change of stomach contents","M. Ueno","S. Kosaka","H. Ushiyama",NA,NA,NA,NA,NA,NA,NA,NA,"Ueno, M., Kosaka, S., Ushiyama, H., 1969. Food and feeding behavior of Pacific salmon—II. Sequential change of stomach contents. Bulletin of the Japanese Society of Scientific Fisheries 35(11), 1060-1066.",NA,"processed in field","2019-11-15","Caroline Graham"
20,"1995","Feeding of Chinook and coho salmon in the Northwestern Pacific Ocean","A. F. Volkov","V. I. Chuchukalo","A. Ya. Efimkin",NA,NA,NA,NA,NA,NA,NA,NA,"Volkov, A.F., Chuchukalo, V.I., Efimkin, A.Y. 1995. Feeding of Chinook and coho salmon in the Northwestern Pacific Ocean. (NPAFC Doc. 124). Pacific Research Institute of Fisheries Oceanography, Vladivostok, Russia, 12 pp.","The diet metric reported was assumed to be percent weight of prey",NA,"2019-11-15","Caroline Graham"
21,"2000","Food habits of juvenile salmon in the Gulf of Alaska July-August 1996","M. E. Auburn","S. E. Ignell",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Auburn, M.E., Ignell, S.E., 2000. Food habits of juvenile salmon in the Gulf of Alaska July–August 1996. North Pacific Anadromous Fish Commission Bulletin 2, 89-97.","Nearshore sites were exlcuded because they fell within the RCD.","processed in lab","2019-11-15","Caroline Graham"
22,"1998","Abiotic and biotic factors influencing food habits of Pacific salmon in the Gulf of Alaska","K. Y. Aydin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aydin, K.Y., 1998. Abiotic and biotic factors influencing food habits of Pacific salmon in the Gulf of Alaska, In: Myers, K.W. (Ed.), Workshop of Climate Change and Salmon Production Technical Report, Vancouver, Canada, March 27, 1998. North Pacific Anadromous Commission, pp. 39-40.","The diet metric reported was assumed to be percent weight of prey",NA,"2019-11-15","Caroline Graham"
23,"2007","Interannual and interdecadal variability in juvenile coho salmon (Oncorhynchus kisutch) diets in relation to environmental changes in the northern California Current","R. D. Brodeur","E. A. Daly","R. A. Schabetsberger","K. L. Mier",NA,NA,NA,NA,NA,NA,NA,"Brodeur, R.D., Daly, E.A., Schabetsberger, R.A., Mier, K.L., 2007. Interannual and interdecadal variability in juvenile coho salmon (Oncorhynchus kisutch) diets in relation to environmental changes in the northern California Current. Fisheries Oceanography 16, 395-408.",NA,"processed in lab","2019-11-15","Caroline Graham"
24,"2015","Warming ocean conditions relate to increased trophic requirements of threatened and endangered salmon","E. A. Daly","R. D. Brodeur",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Daly, E.A., Brodeur, R.D., 2015. Warming ocean conditions relate to increased trophic requirements of threatened and endangered salmon. PLoS One 10(12), e0144066. ",NA,"processed in lab","2019-11-15","Caroline Graham"
25,"2003","Bering sea salmon food habits: Diet overlap in fall and potential for interactions among salmon","N. D. Davis","J. L. Armstrong","K. W. Myers",NA,NA,NA,NA,NA,NA,NA,NA,"Davis, N.D., Armstrong, J.L., Myers, K.W., 2003. Bering Sea salmon food habits: Diet overlap in fall and potential for interactions among salmon. Final Report to the Yukon River Drainage Fisheries Association. SAFS-UW-0311. Fisheries Research Institute, School of Aquatic and Fisheries Sciences, University of Washington, Seattle, U.S.A., 34 pp.","This paper presents some of the same data as Davis et al. 1996, and presents the same data as Davis et al. 2005. In Davis et al. 2005 the data is reported by body weight instead of ocean age for the 1990s. There is more detailed data in Davis et al. 2003 for 2002.","processed in lab","2019-11-15","Caroline Graham"
26,"1998","Interaction between chum salmon and fat greenling juveniles in the coastal Sea of Japan off northern Hokkaido","H. Kawamura","M. Miyamoto","M. Nagata","K. Hirano",NA,NA,NA,NA,NA,NA,NA,"Kawamura, H., Miyamoto, M., Nagata, M., Hirano, K., 1998. Interaction between chum salmon and fat greenling juveniles in the coastal Sea of Japan off northern Hokkaido. North Pacific Anadromous Fish Commission Bulletin 1, 412-418.",NA,"processed in lab","2019-11-15","Caroline Graham"
27,"2016","Feeding habits and trophic levels of Pacific salmon (Oncorhynchus spp.) in the North Pacific Ocean","Y. Qin","M. Kaeriyama",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qin, Y., Kaeriyama, M., 2016. Feeding habits and trophic levels of Pacific salmon (Oncorhynchus spp.) in the North Pacific Ocean. North Pacific Anadromous Fish Commission Bulletin 6, 469-481.","Some of the data reported in this source is the same as data reported in Kaeriyama et al. 2004. This paper is a meta-analysis that uses data from other sources (LeBrasseur 1966 and Pearcy 1988) as well as some of their own cruise data. The data is not separated by source so all data is included in the database.","inconsistent methods because data was pulled from various sources","2019-11-15","Caroline Graham"
28,"2007","Trends in abundance and feeding of chum salmon in the Western Bering Sea","A. N. Starovoytov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Starovoytov, A.N., 2007. Trends in abundance and feeding of chum salmon in the Western Bering Sea. North Pacific Anadromous Fish Commission Bulletin 4, 45-51.","This paper likely presents some of the same data as Starovoytov 2003. Staravoytov 2007 has less detailed diet data.",NA,"2019-11-15","Caroline Graham"
29,"1992","Deepwater migrations of chum salmon (Oncorhynchus keta) along the Pacific coast of northern Japan","Y. Ueno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ueno, Y., 1992. Deepwater migrations of chum salmon (Oncorhynchus keta) along the Pacific coast of northern Japan. Canadian Journal of Fisheries and Aquatic Sciences 49, 2307-2312. ","For the life stage of salmon sampled for diet information, I used the average fork length of males and females for all dates.","processed in lab","2019-11-15","Caroline Graham"
30,"1992","Large juvenile chum salmon Oncorhynchus keta collected in coastal waters of Iturup Island","Y. Ueno","J. Seki","I. Shimizu",NA,NA,NA,NA,NA,NA,NA,NA,"Ueno, Y., Seki, J., Shimizu, I., P. Shershnev, A., 1992. Large juvenile chum salmon Oncorhynchus keta collected in coastal waters of Iturup Island. Nippon Suisan Gakkaishi 58(8), 1393-1397.",NA,"processed in lab","2019-11-15","Caroline Graham"
31,"1992","The abundance, distribution, and biological characteristics of Chinook and coho salmon on the fishing banks off southwest Vancouver Island, May 18-30, 1989 and April 23-May 5, 1990","B. J. Waddell","J. F. T. Morris","M. C. Healey",NA,NA,NA,NA,NA,NA,NA,NA,"Waddell, B.J., Morris, J.F.T., Healey, M.C., 1992. The abundance, distribution, and biological characteristics of Chinook and coho salmon on the fishing banks off southwest Vancouver Island, May 18-30, 1989 and April 23-May 5, 1990. Canadian Technical Report of Fisheries and Aquatic Sciences 1891, 113 pp.","The following sites were excluded because they fell into the Riverine Coastal Domain: Barkley Sound, Pachena, Swiftsure Bank, and Amphrite Bank. Ocean age was presented as years in freshwater and years in saltwater (as #.#). I report some overlapping data within the paper itself because diet data is given by age and by location.",NA,"2019-11-15","Caroline Graham"
32,"1970","The feeding of Pacific salmon fry in the sea","L. D. Andrievskaya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andrievskaya, L.D., 1970. The feeding of Pacific salmon fry in the sea. Proceedings of the Pacific Research Institute of Fisheries and Oceanography 64, 73-80 (Fisheries Research Board of Canada Translation Series 1423: 1-16).",NA,NA,"2019-11-15","Caroline Graham"
33,"2012","Bioenergetic response by steelhead to variation in diet, thermal habitat, and climate in the North Pacific Ocean","M. E. Atcheson","K. W. Myers","D. A. Beauchamp","N. J. Mantua",NA,NA,NA,NA,NA,NA,NA,"Atcheson, M.E., Myers, K.W., Beauchamp, D.A., Mantua, N.J., 2012. Bioenergetic response by steelhead to variation in diet, thermal habitat, and climate in the North Pacific Ocean. Transactions of the American Fisheries Society 141, 1081-1096.","This paper presents some of the same data as Davis et al. 1996- but Atcheson et al. 2012 uses data from a longer time period and has age-specific data. It also presents some of the same data as Tadokoro et al. 1996 but data in Atcheson et al. 2012 is reported differently and for a longer time period.",NA,"2019-11-15","Caroline Graham"
34,"1996","Cruise report of the F/V Great Pacific survey of young salmon in the North Pacific--Dixon entrance to Western Aleutians--July-August 1996","H. R. Carlson","K. W. Myers","E. V. Farley","H. W. Jaenicke","R. E. Haight","C. M. Guthrie III",NA,NA,NA,NA,NA,"Carlson, H.R., Myers, K.W., Farley, E. V, Jaenicke, H.W., Haight, R.E., Guthrie, C.M., 1996. Cruise report of the F/V Great Pacific survey of young salmon in the North Pacific—Dixon entrance to Western Aleutians-July-August 1996. (NPAFC Doc. 222.) Auke Bay Laboratory, Alaska Fisheries Science Center, National Marine Fisheries Service, National Oceanic and Atmospheric Administration, Juneau, U.S.A, 50 pp.","The nearshore sites were excluded because they fell into the Riverine Coastal Domain.","processed in field","2019-11-15","Caroline Graham"
35,"2005","Salmon food habits studies in the Bering Sea, 1960 to present","N. D. Davis","M. Fukuwaka","J. L. Armstrong","K. W. Myers",NA,NA,NA,NA,NA,NA,NA,"Davis, N.D., Fukuwaka, M., Armstrong, J.L., Myers, K.W., 2005. Salmon food habits studies in the Bering Sea, 1960 to present. North Pacific Anadromous Fish Commission Technical Report 6, 24-28.","This paper presents some of the same data as Davis et al. 1996, and presents the same data as Davis et al. 2003. In Davis et al. 2005 the data is reported by body weight instead of ocean age for the 1990s. There is more detailed data in Davis et al. 2003 for 2002.",NA,"2019-11-15","Caroline Graham"
36,"1996","The 1996 international cooperative salmon research cruise of the Oshoro maru and a summary of 1994-1996 results","K. W. Myers","K. Y. Aydin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myers, K.W., Aydin, K.Y., 1996. The 1996 international cooperative salmon research cruise of the Oshoro maru and a summary of 1994-1996 results. (NPAFC Doc. 195) FRI-UW-9613. University of Washington, Fisheries Research Institute, Seattle, U.S.A., 32 pp.","This paper presents some of the same data as Myers et al. 1995, but the data in Myers et al. 1995 is reported as percent weight of prey while the data in Myers and Aydin 1996 is reported as percent of volume and this paper includes more years. There is also overlap with Davis et al. 1996, which reports more years.","processed in field, visual estimates of percent volume","2019-11-15","Caroline Graham"
37,"1995","Migrations, abundance, and origins of salmonids in offshore waters of the North Pacific - 1995","K. W. Myers","R. V. Walker","N. D. Davis","W. S. Patton","K. Y. Aydin","E. K. Pitkitch","R. L. Burgner",NA,NA,NA,NA,"Myers, K.W., Walker, R. V, Davis, N.D., Patton, W.S., Aydin, K.Y., Pikitch, E.K., Burgner, R.L., 1995. Migrations, abundance, and origins of salmonids in offshore waters of the North Pacific - 1995. (NPAFC Doc. 152) FRI-UW-9613. University of Washington, Fisheries Research Institute, Seattle, U.S.A., 84 pp.","This paper presents some of the same data as Myers and Aydin 1996 but the data is reported here as percent weight of prey while the data in Myers and Aydin 1996  is reported as percent volume of prey. There are also less years reported in Myers et al. 1995. This also overlap with Davis et al. 1996 but Davis et al. 1996 also reports percent volume of prey and reports more years.","processed in field, visual estimates of percent volume","2019-11-15","Caroline Graham"
38,"1997","Diet of juvenile salmon off Southeastern Alaska, October-November 1995","M. V. Sturdevant","S. E. Ignell","J. Morris",NA,NA,NA,NA,NA,NA,NA,NA,"Sturdevant, M. V, Ignell, S.E., Morris, J., 1997. Diet of juvenile salmon off Southeastern Alaska, October-November 1995. (NPAFC Doc. 275). Auke Bay Laboratory, Alaska Fisheries Science Center, National Marine Fisheries Service, National Oceanic and Atmospheric Administration, Juneau, U.S.A., 28 pp.","The Prince William Sound sites were excluded because they fell within the Riverine Coastal Domain, as well as the Cape Edgecumbe and Aspid Cape sites.","processed in lab","2019-11-15","Caroline Graham"
39,"1993","Summary of cooperative U.S.-Japan high seas salmonid research aboard the Japanese research vessel Oshoro Maru, 1993","R. V. Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Walker, R. V, 1993. Summary of cooperative U.S.-Japan high seas salmonid research aboard the Japanese research vessel Oshoro Maru, 1993. (NPAFC Doc. 21). Fisheries Research Institute, University of Washington, Seattle, U.S.A., 16 pp.",NA,"processed in field, visual estimates of percent volume","2019-11-15","Caroline Graham"
40,"1994","Feeding selectivity of juvenile chum salmon in the Japan Sea Coast of Northern Honshu","T. Suzuki","M. Fukuwaka","I. Shimizu","J. Seki","M. Kaeriyama","H. Mayama",NA,NA,NA,NA,NA,"Suzuki, T., Fukuwaka, M., Shimizu, I., Seki, J., Kaeriyama, M., Mayama, H., 1994. Feeding selectivity of juvenile chum salmon in the Japan Sea Coast of Northern Honshu. Scientific Reports of the Hokkaido Salmon Hatchery 48, 11-16. In Japanese: English abstract.","The diet metric reported was assumed to be numerical percentage of prey",NA,"2019-11-15","Caroline Graham"
41,"1969","On the diurnal change of the feeding activity of salmon in the Okhotsk Sea","K. Shimazaki","S. Mishima",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shimazaki, K., Mishima, S., 1969. On the diurnal change of the feeding activity of salmon in the Okhotsk Sea. Bulletin of the Faculty of Fisheries Hokkaido University 20, 82-93. In Japanese: English abstract.",NA,NA,"2019-11-15","Caroline Graham"
42,"2004","Ocean conditions, marine survival, and performance of juvenile chinook (Oncorhynchus tshawytscha) and coho (O. kisutch) salmon in Southeast Alaska","L. A. Weitkamp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Weitkamp, L.A., 2004. Ocean conditions, marine survival, and performance of juvenile chinook (Oncorhynchus tshawytscha) and coho (O. kisutch) salmon in Southeast Alaska. University of Washington, PhD thesis.","The inshore and straits sites were removed because they fell within the Riverine Coastal Domain","processed in lab","2019-11-15","Caroline Graham"
43,"2003","Chum salmon (Oncorhynchus keta (Walbaum)) in the Far East Seas - biological description of the species. 2. Diet composition and trophic linkages of chum salmon in the Far East Seas and adjacent waters of the Northwest Pacific Ocean","A. N. Starovoytov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Starovoytov, A.N., 2003. Chum salmon (Oncorhynchus keta (Walbaum)) in the Far East Seas - biological description of the species 2. Diet composition and trophic linkages of chum salmon in the Far East Seas and adjacent waters of the Northwest Pacific Ocean. Izvestiya TINRO 133, 3-34. In Russian.","This paper likely presents some of the same data as Starovoytov 2007. Staravoytov 2007 has less detailed diet data.","processed in field","2019-11-15","Caroline Graham"
